vdw_corr,stacking,disregistry,d,energy
dft-d3,AA,0.66667,3.62,-154.88601013491026
dft-d3,AA,0.66667,3.63,-154.88606639444797
dft-d3,AA,0.66667,3.64,-154.88612006890406
dft-d3,AA,0.66667,3.65,-154.88617619238482
dft-d3,AA,0.66667,3.66,-154.88623217980862
dft-d3,AA,0.66667,3.67,-154.88627833711973
dft-d3,AA,0.66667,3.68,-154.8863130316351
dft-d3,AA,0.66667,3.69,-154.88633840625124
dft-d3,AA,0.66667,3.7,-154.88635330448432
dft-d3,AA,0.66667,3.71,-154.88635854267585
dft-d3,AA,0.66667,3.72,-154.886353406527
dft-d3,AA,0.66667,3.73,-154.88633854230818
dft-d3,AA,0.66667,3.74,-154.88632235153432
dft-d3,AA,0.66667,3.75,-154.88631211325088
dft-d3,AA,0.66667,3.76,-154.8863006164409
dft-d3,AA,0.66667,3.77,-154.88629582043436
